end_date,school_cycle,start_date,Holdback students (sum).,Incoming students (sum).,School groups (sum).,Schools (sum).,Teachers (sum).,Total students (sum).,oversight_type,grade_study,geography,schooling_type
2020-06-30,2019-2020,2019-08-01,2600.0,335352.0,12116.0,1284.0,12383.0,337952.0,Public,Elementary school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,1877.0,161499.0,5069.0,469.0,10251.0,163376.0,Public,Middle school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,5122.0,104085.0,2869.0,186.0,10698.0,109207.0,Public,High school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,122.0,58.0,19.0,4.0,56.0,180.0,Private,High school,Baja California,Remote schooling
2021-06-30,2020-2021,2020-08-01,0.0,15224.0,0.0,10.0,103.0,15224.0,Public,High school,Baja California,Remote schooling
2021-06-30,2020-2021,2020-08-01,357.0,46610.0,2357.0,330.0,2068.0,46967.0,Private,Elementary school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,200.0,20083.0,847.0,196.0,2180.0,20283.0,Private,Middle school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,151.0,498.0,49.0,10.0,110.0,649.0,Private,Technical school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,3391.0,29089.0,1325.0,231.0,3349.0,32480.0,Private,High school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,2058.0,335928.0,12261.0,1287.0,12294.0,337986.0,Public,Elementary school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,1142.0,164679.0,5104.0,470.0,10216.0,165821.0,Public,Middle school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,3778.0,110156.0,2846.0,185.0,10704.0,113934.0,Public,High school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,,23928.0,1414.0,529.0,1440.0,23928.0,Private,Pre-school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,,9538.0,469.0,109.0,163.0,9538.0,Private,Nursery school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,,83696.0,3533.0,948.0,3579.0,83696.0,Public,Pre-school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,,1638.0,104.0,25.0,91.0,1638.0,Public,Nursery school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,,15689.0,1203.0,497.0,1211.0,15689.0,Private,Pre-school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,,6175.0,299.0,63.0,141.0,6175.0,Private,Nursery school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,,80941.0,3663.0,954.0,3685.0,80941.0,Public,Pre-school,Baja California,On-site education
2021-06-30,2020-2021,2020-08-01,,1260.0,95.0,24.0,56.0,1260.0,Public,Nursery school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,0.0,3618.0,5.0,7.0,41.0,3618.0,Public,High school,Baja California Sur,Remote schooling
2020-06-30,2019-2020,2019-08-01,65.0,8788.0,493.0,76.0,424.0,8853.0,Private,Elementary school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,14.0,3625.0,204.0,50.0,605.0,3639.0,Private,Middle school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,167.0,2727.0,140.0,32.0,591.0,2894.0,Private,High school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,476.0,76343.0,3025.0,364.0,3004.0,76819.0,Public,Elementary school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,108.0,35456.0,1270.0,143.0,2188.0,35564.0,Public,Middle school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,2128.0,29445.0,1030.0,124.0,2589.0,31573.0,Public,High school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,0.0,2948.0,1.0,7.0,37.0,2948.0,Public,High school,Baja California Sur,Remote schooling
2021-06-30,2020-2021,2020-08-01,47.0,7157.0,451.0,72.0,386.0,7204.0,Private,Elementary school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,66.0,3347.0,197.0,50.0,538.0,3413.0,Private,Middle school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,175.0,2430.0,143.0,35.0,595.0,2605.0,Private,High school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,165.0,76293.0,3105.0,372.0,3041.0,76458.0,Public,Elementary school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,93.0,37102.0,1290.0,144.0,2199.0,37195.0,Public,Middle school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,924.0,30341.0,982.0,123.0,2522.0,31265.0,Public,High school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,,4796.0,296.0,101.0,278.0,4796.0,Private,Pre-school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,,1336.0,77.0,15.0,11.0,1336.0,Private,Nursery school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,,24555.0,1069.0,322.0,1045.0,24555.0,Public,Pre-school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,,1821.0,99.0,30.0,33.0,1821.0,Public,Nursery school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,,2687.0,217.0,89.0,210.0,2687.0,Private,Pre-school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,,809.0,39.0,12.0,23.0,809.0,Private,Nursery school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,,23395.0,1108.0,335.0,1064.0,23395.0,Public,Pre-school,Baja California Sur,On-site education
2021-06-30,2020-2021,2020-08-01,,1410.0,94.0,27.0,35.0,1410.0,Public,Nursery school,Baja California Sur,On-site education
2020-06-30,2019-2020,2019-08-01,0.0,3823.0,5.0,6.0,28.0,3823.0,Public,High school,Campeche,Remote schooling
2020-06-30,2019-2020,2019-08-01,44.0,7514.0,457.0,59.0,443.0,7558.0,Private,Elementary school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,65.0,4905.0,219.0,42.0,540.0,4970.0,Private,Middle school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,99.0,2705.0,161.0,45.0,473.0,2804.0,Private,High school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,1149.0,91813.0,3865.0,695.0,3867.0,92962.0,Public,Elementary school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,535.0,39051.0,1547.0,310.0,2529.0,39586.0,Public,Middle school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,1181.0,33896.0,1800.0,104.0,2453.0,35077.0,Public,High school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,0.0,1611.0,0.0,6.0,24.0,1611.0,Public,High school,Campeche,Remote schooling
2021-06-30,2020-2021,2020-08-01,22.0,6996.0,455.0,61.0,445.0,7018.0,Private,Elementary school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,54.0,4611.0,211.0,44.0,521.0,4665.0,Private,Middle school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,63.0,2412.0,151.0,45.0,510.0,2475.0,Private,High school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,393.0,92744.0,3841.0,693.0,3850.0,93137.0,Public,Elementary school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,120.0,40951.0,1548.0,309.0,2481.0,41071.0,Public,Middle school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,434.0,33566.0,1136.0,103.0,2502.0,34000.0,Public,High school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,,3635.0,261.0,81.0,249.0,3635.0,Private,Pre-school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,,767.0,60.0,16.0,7.0,767.0,Private,Nursery school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,,34549.0,1636.0,626.0,1649.0,34549.0,Public,Pre-school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,,3151.0,183.0,133.0,163.0,3151.0,Public,Nursery school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,,2079.0,207.0,78.0,198.0,2079.0,Private,Pre-school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,,569.0,44.0,14.0,3.0,569.0,Private,Nursery school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,,32297.0,1643.0,627.0,1647.0,32297.0,Public,Pre-school,Campeche,On-site education
2021-06-30,2020-2021,2020-08-01,,2673.0,178.0,133.0,164.0,2673.0,Public,Nursery school,Campeche,On-site education
2020-06-30,2019-2020,2019-08-01,0.0,5117.0,13.0,8.0,347.0,5117.0,Public,High school,Chiapas,Remote schooling
2020-06-30,2019-2020,2019-08-01,137.0,23017.0,1252.0,194.0,1205.0,23154.0,Private,Elementary school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,58.0,10467.0,518.0,127.0,1442.0,10525.0,Private,Middle school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,932.0,14395.0,804.0,145.0,2460.0,15327.0,Private,High school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,10569.0,762879.0,31391.0,8189.0,30615.0,773448.0,Public,Elementary school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,2298.0,290840.0,11411.0,2414.0,14441.0,293138.0,Public,Middle school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,6.0,278.0,9.0,2.0,24.0,284.0,Public,Technical school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,6070.0,194883.0,7055.0,918.0,11459.0,200953.0,Public,High school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,0.0,4299.0,0.0,8.0,31.0,4299.0,Public,High school,Chiapas,Remote schooling
2021-06-30,2020-2021,2020-08-01,56.0,20410.0,1234.0,196.0,1182.0,20466.0,Private,Elementary school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,77.0,9827.0,514.0,129.0,1408.0,9904.0,Private,Middle school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,942.0,11224.0,723.0,133.0,2229.0,12166.0,Private,High school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,5475.0,771557.0,31346.0,8132.0,30210.0,777032.0,Public,Elementary school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,1570.0,286300.0,11471.0,2431.0,14368.0,287870.0,Public,Middle school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,0.0,275.0,9.0,2.0,23.0,275.0,Public,Technical school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,4296.0,197797.0,7109.0,917.0,11602.0,202093.0,Public,High school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,,11521.0,756.0,247.0,746.0,11521.0,Private,Pre-school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,,1545.0,161.0,18.0,52.0,1545.0,Private,Nursery school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,,285059.0,13013.0,6959.0,12831.0,285059.0,Public,Pre-school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,,5660.0,329.0,279.0,271.0,5660.0,Public,Nursery school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,,8062.0,648.0,243.0,635.0,8062.0,Private,Pre-school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,,1270.0,100.0,18.0,55.0,1270.0,Private,Nursery school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,,277130.0,12833.0,6913.0,12532.0,277130.0,Public,Pre-school,Chiapas,On-site education
2021-06-30,2020-2021,2020-08-01,,5302.0,309.0,266.0,262.0,5302.0,Public,Nursery school,Chiapas,On-site education
2020-06-30,2019-2020,2019-08-01,0.0,13571.0,9.0,13.0,98.0,13571.0,Public,High school,Chihuahua,Remote schooling
2020-06-30,2019-2020,2019-08-01,338.0,38012.0,1415.0,248.0,1415.0,38350.0,Private,Elementary school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,348.0,19304.0,812.0,147.0,1790.0,19652.0,Private,Middle school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,347.0,3825.0,171.0,25.0,516.0,4172.0,Private,Technical school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,4388.0,29523.0,1352.0,199.0,2783.0,33911.0,Private,High school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,8197.0,371709.0,15331.0,2438.0,15335.0,379906.0,Public,Elementary school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,3917.0,166526.0,5704.0,805.0,8619.0,170443.0,Public,Middle school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,5609.0,103023.0,3388.0,387.0,7750.0,108632.0,Public,High school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,0.0,10316.0,15.0,15.0,101.0,10316.0,Public,High school,Chihuahua,Remote schooling
2021-06-30,2020-2021,2020-08-01,197.0,35180.0,1385.0,248.0,1384.0,35377.0,Private,Elementary school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,167.0,19036.0,822.0,151.0,1790.0,19203.0,Private,Middle school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,395.0,2800.0,144.0,23.0,442.0,3195.0,Private,Technical school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,5161.0,19973.0,1131.0,186.0,2692.0,25134.0,Private,High school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,3668.0,371567.0,15097.0,2416.0,15057.0,375235.0,Public,Elementary school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,2022.0,170479.0,5723.0,811.0,8507.0,172501.0,Public,Middle school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,5953.0,112206.0,3603.0,400.0,8258.0,118159.0,Public,High school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,,16805.0,701.0,347.0,701.0,16805.0,Private,Pre-school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,,8784.0,486.0,73.0,134.0,8784.0,Private,Nursery school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,,109251.0,4869.0,1778.0,4845.0,109251.0,Public,Pre-school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,,2223.0,162.0,50.0,77.0,2223.0,Public,Nursery school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,,11674.0,663.0,347.0,663.0,11674.0,Private,Pre-school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,,7628.0,510.0,75.0,244.0,7628.0,Private,Nursery school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,,102958.0,4817.0,1795.0,4785.0,102958.0,Public,Pre-school,Chihuahua,On-site education
2021-06-30,2020-2021,2020-08-01,,2029.0,156.0,47.0,68.0,2029.0,Public,Nursery school,Chihuahua,On-site education
2020-06-30,2019-2020,2019-08-01,11.0,58.0,3.0,3.0,24.0,69.0,Private,High school,Coahuila de Zaragoza,Remote schooling
2020-06-30,2019-2020,2019-08-01,0.0,11088.0,11.0,17.0,652.0,11088.0,Public,High school,Coahuila de Zaragoza,Remote schooling
2020-06-30,2019-2020,2019-08-01,255.0,44567.0,2138.0,248.0,1869.0,44822.0,Private,Elementary school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,190.0,22737.0,977.0,191.0,2391.0,22927.0,Private,Middle school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,149.0,4996.0,215.0,57.0,588.0,5145.0,Private,Technical school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,3212.0,30786.0,1351.0,275.0,4041.0,33998.0,Private,High school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,2226.0,291525.0,10497.0,1578.0,10433.0,293751.0,Public,Elementary school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,577.0,130839.0,3985.0,452.0,8782.0,131416.0,Public,Middle school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,4818.0,81816.0,2952.0,371.0,7078.0,86634.0,Public,High school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,17.0,496.0,21.0,4.0,34.0,513.0,Private,High school,Coahuila de Zaragoza,Remote schooling
2021-06-30,2020-2021,2020-08-01,0.0,8329.0,36.0,16.0,749.0,8329.0,Public,High school,Coahuila de Zaragoza,Remote schooling
2021-06-30,2020-2021,2020-08-01,434.0,39219.0,2051.0,249.0,1766.0,39653.0,Private,Elementary school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,27.0,21302.0,941.0,193.0,2235.0,21329.0,Private,Middle school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,334.0,4385.0,218.0,56.0,517.0,4719.0,Private,Technical school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,2588.0,27102.0,1362.0,280.0,3751.0,29690.0,Private,High school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,706.0,288716.0,10506.0,1580.0,10436.0,289422.0,Public,Elementary school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,345.0,135512.0,4009.0,453.0,8846.0,135857.0,Public,Middle school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,2872.0,80116.0,3058.0,365.0,6648.0,82988.0,Public,High school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,,24340.0,1441.0,434.0,1368.0,24340.0,Private,Pre-school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,,7333.0,407.0,96.0,74.0,7333.0,Private,Nursery school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,,104251.0,3791.0,1348.0,3785.0,104251.0,Public,Pre-school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,,2359.0,163.0,31.0,113.0,2359.0,Public,Nursery school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,,18089.0,1313.0,424.0,1199.0,18089.0,Private,Pre-school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,,5222.0,347.0,80.0,29.0,5222.0,Private,Nursery school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,,111751.0,3947.0,1395.0,3915.0,111751.0,Public,Pre-school,Coahuila de Zaragoza,On-site education
2021-06-30,2020-2021,2020-08-01,,1929.0,147.0,30.0,144.0,1929.0,Public,Nursery school,Coahuila de Zaragoza,On-site education
2020-06-30,2019-2020,2019-08-01,2.0,270.0,9.0,2.0,38.0,272.0,Private,High school,Colima,Remote schooling
2020-06-30,2019-2020,2019-08-01,0.0,1954.0,6.0,7.0,29.0,1954.0,Public,High school,Colima,Remote schooling
2020-06-30,2019-2020,2019-08-01,23.0,7492.0,404.0,54.0,386.0,7515.0,Private,Elementary school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,23.0,2666.0,122.0,27.0,378.0,2689.0,Private,Middle school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,1352.0,4911.0,344.0,74.0,860.0,6263.0,Private,High school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,997.0,67281.0,2851.0,422.0,2818.0,68278.0,Public,Elementary school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,379.0,31746.0,1178.0,156.0,2712.0,32125.0,Public,Middle school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,9.0,336.0,9.0,2.0,68.0,345.0,Public,Technical school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,1009.0,24536.0,766.0,113.0,2118.0,25545.0,Public,High school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,0.0,2133.0,10.0,7.0,27.0,2133.0,Public,High school,Colima,Remote schooling
2021-06-30,2020-2021,2020-08-01,125.0,6588.0,397.0,57.0,388.0,6713.0,Private,Elementary school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,1.0,2607.0,119.0,26.0,350.0,2608.0,Private,Middle school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,842.0,3251.0,275.0,68.0,734.0,4093.0,Private,High school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,647.0,67203.0,2905.0,422.0,2835.0,67850.0,Public,Elementary school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,360.0,31840.0,1172.0,151.0,2656.0,32200.0,Public,Middle school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,11.0,347.0,10.0,2.0,39.0,358.0,Public,Technical school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,433.0,25234.0,768.0,113.0,2105.0,25667.0,Public,High school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,,4831.0,298.0,93.0,293.0,4831.0,Private,Pre-school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,,3643.0,209.0,41.0,69.0,3643.0,Private,Nursery school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,,20440.0,974.0,318.0,980.0,20440.0,Public,Pre-school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,,434.0,31.0,6.0,14.0,434.0,Public,Nursery school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,,3974.0,291.0,102.0,278.0,3974.0,Private,Pre-school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,,2722.0,171.0,41.0,72.0,2722.0,Private,Nursery school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,,18818.0,973.0,308.0,971.0,18818.0,Public,Pre-school,Colima,On-site education
2021-06-30,2020-2021,2020-08-01,,404.0,29.0,6.0,17.0,404.0,Public,Nursery school,Colima,On-site education
2020-06-30,2019-2020,2019-08-01,0.0,2482.0,4.0,5.0,22.0,2482.0,Public,High school,Durango,Remote schooling
2020-06-30,2019-2020,2019-08-01,22.0,13059.0,594.0,83.0,548.0,13081.0,Private,Elementary school,Durango,On-site education
2020-06-30,2019-2020,2019-08-01,27.0,6423.0,286.0,61.0,759.0,6450.0,Private,Middle school,Durango,On-site education
2020-06-30,2019-2020,2019-08-01,62.0,1657.0,91.0,15.0,207.0,1719.0,Private,Technical school,Durango,On-site education
2020-06-30,2019-2020,2019-08-01,275.0,8361.0,363.0,68.0,917.0,8636.0,Private,High school,Durango,On-site education
2020-06-30,2019-2020,2019-08-01,933.0,206551.0,9722.0,2413.0,9763.0,207484.0,Public,Elementary school,Durango,On-site education
2020-06-30,2019-2020,2019-08-01,1028.0,87537.0,4505.0,919.0,6569.0,88565.0,Public,Middle school,Durango,On-site education
2020-06-30,2019-2020,2019-08-01,149.0,556.0,51.0,3.0,52.0,705.0,Public,Technical school,Durango,On-site education
2020-06-30,2019-2020,2019-08-01,3618.0,64329.0,2367.0,269.0,5314.0,67947.0,Public,High school,Durango,On-site education
2021-06-30,2020-2021,2020-08-01,0.0,1657.0,11.0,5.0,19.0,1657.0,Public,High school,Durango,Remote schooling
2021-06-30,2020-2021,2020-08-01,5.0,11713.0,554.0,79.0,514.0,11718.0,Private,Elementary school,Durango,On-site education
2021-06-30,2020-2021,2020-08-01,86.0,6001.0,274.0,58.0,681.0,6087.0,Private,Middle school,Durango,On-site education
2021-06-30,2020-2021,2020-08-01,250.0,1315.0,92.0,14.0,207.0,1565.0,Private,Technical school,Durango,On-site education
2021-06-30,2020-2021,2020-08-01,322.0,6758.0,304.0,66.0,878.0,7080.0,Private,High school,Durango,On-site education
2021-06-30,2020-2021,2020-08-01,437.0,207012.0,9743.0,2378.0,9774.0,207449.0,Public,Elementary school,Durango,On-site education
2021-06-30,2020-2021,2020-08-01,834.0,87845.0,4535.0,916.0,6616.0,88679.0,Public,Middle school,Durango,On-site education
